state,handgun
Texas,28254.60633484163
California,25634.51583710407
Florida,25438.633484162896
Ohio,16504.97737556561
Tennessee,13524.628959276019
Virginia,12446.782805429864
Colorado,10975.923076923076
Missouri,10452.524886877827
Illinois,10449.850678733032
Alabama,9870.425339366517
Indiana,9387.37556561086
Georgia,9300.714932126697
Washington,8759.443438914028
Pennsylvania,8669.384615384615
Louisiana,7853.882352941177
Arizona,7749.031674208145
Kentucky,7703.828054298642
Oklahoma,7688.371040723982
Oregon,7102.402714932126
Wisconsin,6867.58371040724
South Carolina,5926.090497737557
Minnesota,5258.402714932126
Mississippi,5167.470588235294
West Virginia,4375.837104072398
Arkansas,4233.402714932126
New York,4196.35294117647
Kansas,4075.0904977375567
Michigan,3977.0135746606334
Connecticut,3823.420814479638
New Mexico,3453.755656108597
Nevada,3328.3529411764707
Massachusetts,2855.714932126697
Maryland,2615.1945701357467
Utah,2482.547511312217
New Jersey,2475.3076923076924
New Hampshire,2458.927601809955
Idaho,2044.7466063348415
Montana,2040.0723981900453
Maine,1904.5113122171945
Alaska,1891.212669683258
South Dakota,1367.841628959276
Wyoming,1231.0452488687783
North Dakota,907.7918552036199
Delaware,896.89592760181
Vermont,805.0497737556561
Puerto Rico,680.0226244343892
North Carolina,647.9954751131222
Rhode Island,600.3665158371041
Iowa,79.57918552036199
Nebraska,55.11764705882353
Guam,32.18099547511312
District of Columbia,19.14027149321267
Virgin Islands,14.066666666666666
Mariana Islands,0.8490566037735849
Hawaii,0.013574660633484163
