state,long_gun
Pennsylvania,42133.20814479638
Texas,33777.0407239819
California,26203.837104072398
Florida,16801.529411764706
Ohio,16109.76923076923
Missouri,13554.140271493212
North Carolina,13129.669683257918
Michigan,12707.882352941177
Tennessee,12638.669683257918
Virginia,12560.619909502262
Colorado,12007.805429864253
New York,11946.004524886877
Alabama,11741.217194570136
Wisconsin,11721.561085972851
Minnesota,10624.280542986426
Indiana,10284.941176470587
Georgia,10168.276018099548
Louisiana,10166.330316742082
Illinois,10083.497737556561
Kentucky,9970.71040723982
Washington,9004.723981900452
Oklahoma,8934.669683257918
Oregon,8876.217194570136
Mississippi,7636.108597285068
Arkansas,7401.877828054298
West Virginia,6701.841628959276
Arizona,6506.79185520362
South Carolina,5911.809954751131
Kansas,5720.266968325792
Maryland,4583.411764705882
Montana,4232.475113122172
Utah,4123.3257918552035
New Mexico,3968.131221719457
Idaho,3880.2171945701357
Iowa,3446.004524886878
South Dakota,3404.950226244344
Maine,3161.9638009049772
Connecticut,2835.5384615384614
Nevada,2779.398190045249
New Hampshire,2584.081447963801
North Dakota,2564.3574660633485
Alaska,2516.452488687783
Nebraska,2412.6923076923076
New Jersey,2399.7285067873304
Wyoming,1937.0633484162895
Massachusetts,1881.8597285067874
Vermont,1255.1221719457014
Delaware,1063.0316742081448
Rhode Island,534.9140271493212
Puerto Rico,137.39366515837105
Guam,26.09049773755656
District of Columbia,2.6244343891402715
Virgin Islands,1.938388625592417
Mariana Islands,0.7830188679245284
Hawaii,0.1583710407239819
